eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2026-02-17,02/17,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,false,false,2026-02-17_jv_boys-basketball,2026-02-17_jv_boys-basketball.jpg,6ef45250-e3b0-497b-baba-3bd8250a2c23
2026-02-20,02/20,Boys Basketball,boys-basketball,jv,JV,05:15 PM,Away,@,Howland,Tigers,Howland Tigers,Howland High School,false,false,2026-02-20_jv_boys-basketball,2026-02-20_jv_boys-basketball.jpg,5eab63b9-c150-4d80-bd7c-cc9a4a59f074
2026-03-30,03/30,Baseball,baseball,jv,JV,05:00 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,false,false,2026-03-30_jv_baseball,2026-03-30_jv_baseball.jpg,0a8e8ebf-1f76-48a1-b134-ea09c7d633ad
2026-03-31,03/31,Baseball,baseball,jv,JV,05:00 PM,Home,vs,Austintown Fitch,Falcons,Austintown Fitch Falcons,Poland Seminary High School,false,false,2026-03-31_jv_baseball,2026-03-31_jv_baseball.jpg,c29510b3-f12f-48ef-b624-f47c7d608dd9
2026-04-13,04/13,Baseball,baseball,jv,JV,05:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2026-04-13_jv_baseball,2026-04-13_jv_baseball.jpg,aca37274-9d6b-40fe-a2a1-97b91852510f
2026-04-15,04/15,Baseball,baseball,jv,JV,05:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2026-04-15_jv_baseball,2026-04-15_jv_baseball.jpg,03a43feb-4ba1-451a-98da-80e32fbfa072
2026-04-17,04/17,Baseball,baseball,jv,JV,05:00 PM,Home,vs,Springfield,Tigers,Springfield Tigers,Poland Seminary High School,false,false,2026-04-17_jv_baseball,2026-04-17_jv_baseball.jpg,e1c51ba7-5b93-436d-a379-fda030487a57
2026-04-18,04/18,Baseball,baseball,jv,JV,11:00 AM,Away,@,Salem,Quakers,Salem Quakers,Salem High School,false,false,2026-04-18_jv_baseball,2026-04-18_jv_baseball.jpg,18ae80b9-a810-4b6d-9083-4122ad1081a9
2026-04-21,04/21,Baseball,baseball,jv,JV,05:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2026-04-21_jv_baseball,2026-04-21_jv_baseball.jpg,8c171fc3-1290-4036-a68c-d6dad252f67c
2026-04-24,04/24,Baseball,baseball,jv,JV,05:30 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2026-04-24_jv_baseball,2026-04-24_jv_baseball.jpg,4c76dfae-b377-4627-9275-d6c814017833
